-0.000025,0.000033
0.022563,0.000044
0.062977,0.000059
0.082155,0.000067
0.094035,0.000071
0.094268,0.000072
0.094264,0.000072
0.098137,0.000074
0.252991,0.000022
0.453041,-0.000070
0.653088,-0.000191
0.852392,-0.000311
0.941537,-0.000473
0.972066,-0.000512
0.986437,-0.000527
0.993238,-0.000528
0.993162,-0.000527
0.992710,-0.000547
0.992450,-0.000565
0.992304,-0.000576
0.992233,-0.000580
0.992161,-0.000585
0.992150,-0.000588
0.990909,-0.000801
0.989985,-0.001090
0.988954,-0.001573
0.988028,-0.002168
0.987185,-0.002885
0.986425,-0.003729
0.985511,-0.005072
0.984583,-0.006726
0.984145,-0.007915
0.983869,-0.009147
0.983778,-0.009982
0.983760,-0.010384
0.983758,-0.010551
0.983758,-0.010636
0.983758,-0.010652
0.983167,-0.000045
0.949748,0.153257
0.920980,0.352179
0.912376,0.552327
0.914619,0.752657
0.921721,0.906877
0.924442,0.956033
0.925758,0.979085
0.926328,0.990125
0.926396,0.991558
0.926586,0.995585
0.926702,0.996763
0.926977,0.997927
0.927412,0.999061
0.928007,1.000147
0.929799,1.002470
0.929346,1.002100
0.930231,1.002869
0.931203,1.003512
0.932259,1.004023
0.933266,1.004362
0.933812,1.004492
0.934080,1.004543
0.934211,1.004565
0.934251,1.004571
0.934255,1.004572
0.966039,1.008424
0.982209,1.010341
0.989872,1.011290
0.989858,1.011287
0.989695,1.011216
0.987924,1.010790
0.986876,1.010346
0.985880,1.009764
0.984974,1.009058
0.984162,1.008230
0.983460,1.007293
0.982882,1.006259
0.982442,1.005146
0.982149,1.003962
0.982017,1.002760
0.982042,1.001625
0.982226,1.000457
0.982555,0.999352
0.983028,0.998301
0.983642,0.997312
0.984390,0.996403
0.985261,0.995593
0.986243,0.994899
0.987332,0.994328
0.988822,0.993768
0.988735,0.993827
0.989651,0.993722
0.990067,0.993708
0.990256,0.993710
0.990330,0.993713
0.990325,0.993715
0.989967,0.993714
0.874550,0.982153
0.674914,0.962238
0.475059,0.953199
0.274888,0.949950
0.116136,0.949512
0.055771,0.949419
0.026985,0.949561
0.013287,0.949660
